UserID,MovieID,RateDates,Genres,Ratings,Comments
25,4,2022-09-11,Drama,4,"['Outstanding cinematography', 'Amazing plot', 'One of the best movies I have watched']"
26,9,2022-09-01,Action,3,"['Amazing plot', 'Outstanding cinematography', 'I would watch it again!']"
26,10,2023-02-01,Crime,4,"['Amazing plot', 'Good film, would recommend']"
26,16,2022-11-01,Horror,4,['I would watch it again!']
26,7,2022-08-11,Drama,4,"['I would watch it again!', 'Incredible visuals']"
26,2,2022-11-04,Drama,3,"['Amazing film, one of my favorites,']"
26,7,2022-06-02,Drama,3,"['It made me cry', 'Great!']"
27,20,2022-07-18,Drama,3,"['It made me cry', 'Great!', 'Amazing film, one of my favorites,']"
27,20,2022-01-24,Drama,4,"['Amazing film, one of my favorites,', 'Outstanding cinematography', 'Good film, would recommend']"
28,16,2022-04-22,Horror,5,"['It made me cry', 'Amazing film, one of my favorites,']"
28,5,2022-07-26,Crime,5,['Amazing plot']
29,19,2022-02-27,Comedy,4,['One of the best movies I have watched']
29,4,2022-02-20,Drama,3,"['Good film, would recommend']"
29,8,2022-11-25,Comedy,4,"['Incredible visuals', 'Good film, would recommend', 'I would watch it again!']"
29,4,2022-09-14,Drama,4,"['One of the best movies I have watched', 'Outstanding cinematography', 'Amazing film, one of my favorites,']"
29,19,2022-08-21,Comedy,3,"['Incredible visuals', 'Amazing plot', 'One of the best movies I have watched']"
29,2,2023-03-30,Drama,3,"['It made me cry', 'Outstanding cinematography']"
29,19,2023-05-06,Comedy,3,"['Amazing film, one of my favorites,', 'Incredible visuals', 'Outstanding cinematography']"
30,11,2022-11-24,Fantasy,3,"['One of the best movies I have watched', 'I would watch it again!', 'Amazing plot']"
30,4,2022-03-14,Drama,3,"['I would watch it again!', 'Outstanding cinematography', 'Great!']"
